DocType,DocNo,Docdate,Party Code,original_party_name,Location,Stock Code,Stock Description,Unit,Quantity,Rate,Gross Amount,Discount,Net Amount,Supplier Category,Product Division,Category,Sub Category,Brand,Nature of Sales,COO,Group,Created by,Created TS,Posted by,Posted TS,Currency,Currency Rate,Fcy Gross Amount,Fcy Discount,Fcy Net Amount,Party Name
LPI10,4089.0,2024-05-23,AP-I0024,Interlink Building Materials Trading L.L.C,Musaffah Shop,16694,32MM PVC 90* ELBOW ATLAS PN16,NOS,1089.0,1.09,1187.01,0.0,1181.08,LOCAL,,PVC PIPE & FITTINGS,PVC 90* ELBOW,brand_0223424371,,,No Warranty,SHAJAHAN.KA,2024-05-27,SHAJAHAN.KA,2024-05-27,AED,1.0,1187.01,5.94,1181.08,party_0884608352
LPI10,4136.0,2024-05-17,AP-A0450,Atlas Plastic Factory L.L.C,Branch 2,16627,110MM PVC PIPE CLASS 16 ATLAS-6MTR,NOS,25.0,113.0,2825.0,0.0,2825.0,LOCAL,,PVC PIPE & FITTINGS,PVC PIPE,brand_0223424371,,,No Warranty,SHAJAHAN.KA,2024-05-27,SHAJAHAN.KA,2024-05-27,AED,1.0,2825.0,0.0,2825.0,party_1032261125
LPI10,4528.0,2024-06-04,AP-A0450,Atlas Plastic Factory L.L.C,Musaffah Shop,16596,"3/4"" PVC PIPE CLASS E ATLAS-6MTR",LTH,25.0,8.5,212.5,0.0,212.5,LOCAL,,PVC PIPE & FITTINGS,PVC PIPE,brand_0223424371,,,No Warranty,SHAJAHAN.KA,2024-06-18,SHAJAHAN.KA,2024-06-18,AED,1.0,212.5,0.0,212.5,party_1032261125
LPI10,4849.0,2024-07-01,AP-A0450,Atlas Plastic Factory L.L.C,Musaffah Shop,28441,"11/2"" UPVC DR PIPE ATLAS 4MTR BSEN 1329 ",LTH,60.0,8.5,510.0,0.0,510.0,LOCAL,,PVC PIPE & FITTINGS,UPVC DR PIPE,brand_0223424371,,,No Warranty,SHAJAHAN.KA,2024-07-02,SHAJAHAN.KA,2024-07-02,AED,1.0,510.0,0.0,510.0,party_1032261125
ICPI10,1226.0,2024-11-30,APIC-R0002,RAJAB TRADING COMPANY L L C - BRANCH(MCJ),Musaffah Shop,13032,JOTUN THINNER NO: 17 DRM,DRM,6.0,245.0,1470.0,0.0,1470.0,,,JOTUN-PC,JOTUN THINNER DRM,brand_0097038786,,,No Warranty,SHAMEER,2024-12-19,SHAMEER,2024-12-19,AED,1.0,1470.0,0.0,1470.0,party_1417468171
LPI10,4272.0,2024-05-28,AP-C0055,Cosmoplast Industrial Co.L.L.C,Branch 2,15487,"TEE 87º, SS, GREY 200MM",NOS,8.0,37.6,300.8,0.0,300.8,LOCAL,,UPVC DRAINAGE PIPE & FITTINGS,UPVC TEE,brand_0850260632,,,No Warranty,SHAJAHAN.KA,2024-06-05,SHAJAHAN.KA,2024-06-05,AED,1.0,300.8,0.0,300.8,party_0779115970
LPI10,4272.0,2024-05-28,AP-C0055,Cosmoplast Industrial Co.L.L.C,Branch 2,15504,"Y BRANCH 45º, SS, GREY 200MM",NOS,8.0,63.45,507.6,0.0,507.6,LOCAL,,UPVC DRAINAGE PIPE & FITTINGS,UPVC Y BRANCH,brand_0850260632,,,No Warranty,SHAJAHAN.KA,2024-06-05,SHAJAHAN.KA,2024-06-05,AED,1.0,507.6,0.0,507.6,party_0779115970
LPI10,5057.0,2024-07-10,AP-C0055,Cosmoplast Industrial Co.L.L.C,Branch 2,28859,"UPVC REDUCING BUSH, PN16, SS, GREY 32X25MM",NOS,2000.0,0.63,1260.0,0.0,1260.0,LOCAL,,PVC PIPE & FITTINGS,PVC REDUCER BUSH,brand_0850260632,,,No Warranty,SHAJAHAN.KA,2024-07-10,SHAJAHAN.KA,2024-07-10,AED,1.0,1260.0,0.0,1260.0,party_0779115970
LPI10,5057.0,2024-07-10,AP-C0055,Cosmoplast Industrial Co.L.L.C,Branch 2,28858,"UPVC REDUCING BUSH, PN16, SS, GREY 32X20MM",NOS,2000.0,0.56,1120.0,0.0,1120.0,LOCAL,,PVC PIPE & FITTINGS,PVC REDUCER BUSH,brand_0850260632,,,No Warranty,SHAJAHAN.KA,2024-07-10,SHAJAHAN.KA,2024-07-10,AED,1.0,1120.0,0.0,1120.0,party_0779115970
LPI10,5057.0,2024-07-10,AP-C0055,Cosmoplast Industrial Co.L.L.C,Branch 2,28828,"UPVC MALE ADAPTER, PN16, SS, GREY 11/2""X50mm",NOS,216.0,3.33,719.28,0.0,719.28,LOCAL,,PVC PIPE & FITTINGS,PVC MALE ADAPTOR,brand_0850260632,,,No Warranty,SHAJAHAN.KA,2024-07-10,SHAJAHAN.KA,2024-07-10,AED,1.0,719.28,0.0,719.28,party_0779115970
