doctype,docno,docdate,party_code,original_party_name,lpo_no,location,original_salesman,gross_amount,discount,net_amount,vat_amount,created_ts,created_by,invoice_mode,area,original_division,division,salesman,party_name
CSI40,1036,2024-01-03,ARC-K0091,KHADAMAT SOLE PROPRIETORSHIP L.L.C,,Branch 2,SHAJAHAN ,204.0,0.0,204.0,10.2,2024-01-03,SHAJAHAN M,CASH,,Branch 2,div_0097926054,man_1937350786,party_1064460045
CSI40,1037,2024-01-03,ARC-S0569,SPMD SWIMMING POOLS TRADING LLC,,Branch 2,RASHID ,8448.0,0.0,8448.0,422.45,2024-01-03,RASHID,CREDIT,,Branch 2,div_0097926054,man_0256316879,party_0649845764
CSI20,1297,2024-01-03,ARC-Y1583,YORK GENERAL CONTRACTING LLC,,Multicolor,RISHAD C,605.0,0.0,605.0,30.25,2024-01-03,RISHAD C,CASH,,MCJ,div_0556003793,man_1841802797,party_0004628644
CSI10,1128,2024-01-03,ARC-W0022,WALK IN - MUS SHOP,,Musaffah Shop,AKTAR HOSSAIN,35.0,0.0,35.0,1.75,2024-01-03,NASSAR,CASH,,HO,div_2006915470,man_0900539661,party_0832930093
CSI40,1038,2024-01-03,ARC-C0238,CAPE GENERAL CONTRACTING,,Branch 2,HAMZA V,2808.0,0.0,2808.0,140.4,2024-01-03,HAMZA,CASH,,Branch 2,div_0097926054,man_0843606315,party_1935512390
CSI10,1129,2024-01-03,ARC-H0046,HAMAD SUHAIL AL KHAILY EST,,Musaffah Shop,FAISAL,410.5,1.04,409.46,20.46,2024-01-03,FAISAL,CASH,,HO,div_2006915470,man_1993412060,party_2078420398
CSI10,1132,2024-01-03,ARC-P0083,PILLIXY CONTRACTING LLC,,Musaffah Shop,NASSAR,250.0,0.0,250.0,12.5,2024-01-03,NASSAR,CASH,,HO,div_2006915470,man_0864799156,party_1533963631
CSI10,1130,2024-01-03,ARC-H1602,HEIRS OF LATE HADI HAMAD HUWAREB AL MANSOURI,,Musaffah Shop,ABBAS ,206.0,0.0,206.0,10.3,2024-01-03,ABBAS,CASH,,HO,div_2006915470,man_1563038311,party_0101534404
CSI10,1131,2024-01-03,ARC-H1602,HEIRS OF LATE HADI HAMAD HUWAREB AL MANSOURI,,Musaffah Shop,ABBAS ,153.0,0.0,153.0,7.65,2024-01-03,ABBAS,CASH,,HO,div_2006915470,man_1563038311,party_0101534404
CSI10,1133,2024-01-03,ARC-H1602,HEIRS OF LATE HADI HAMAD HUWAREB AL MANSOURI,,Musaffah Shop,ABBAS ,890.0,0.0,890.0,44.5,2024-01-03,ABBAS,CASH,,HO,div_2006915470,man_1563038311,party_0101534404
CSI10,1138,2024-01-03,ARC-W0022,WALK IN - MUS SHOP,,Musaffah Shop,NASSAR,24.0,0.0,24.0,1.2,2024-01-03,NASSAR,CASH,,HO,div_2006915470,man_0864799156,party_0832930093
